EmployeeID,DepartmentID,FullName,FirstName,LastName,Role,Email,ActiveFlag
EMP-0002,,Dakota Khan,Dakota,Khan,Division Chief,dakota.khan@******.***,Y
EMP-0003,,Kendall Lopez,Kendall,Lopez,Division Chief,kendall.lopez@******.***,Y
EMP-0004,,Hayden Turner,Hayden,Turner,Division Chief,hayden.turner@******.***,Y
EMP-0005,,Riley Allen,Riley,Allen,Division Chief,riley.allen@******.***,Y
EMP-0006,,Sam Garcia,Sam,Garcia,Division Chief,sam.garcia@******.***,Y
EMP-0007,,Jordan Nguyen,Jordan,Nguyen,Division Chief,jordan.nguyen@******.***,Y
EMP-0008,,Rowan Khan,Rowan,Khan,Division Chief,rowan.khan@******.***,Y
EMP-0009,,Jordan Young,Jordan,Young,Division Chief,jordan.young@******.***,Y
EMP-0010,,Drew Parker,Drew,Parker,Division Chief,drew.parker@******.***,Y
EMP-0058,,Jordan Matthews,Jordan,Matthews,Chief Compliance Officer,jordan.matthews@******.***,Y
EMP-0059,,Elena Rossi,Elena,Rossi,Board Member,elena.rossi@******.***,Y
EMP-0060,,Marcus Boyd,Marcus,Boyd,Board Member,marcus.boyd@******.***,Y
EMP-0061,,Sophia Lin,Sophia,Lin,Board Member,sophia.lin@******.***,Y
EMP-0062,,Richard O'Donnel,Richard,O'Donnel,Board Member,richard.odonnel@******.***,Y
EMP-0063,,Fatima Hassan,Fatima,Hassan,Board Member,fatima.hassan@******.***,Y
